yorum,kategori,açıklama
Bu ürün gerçekten harika! Çok memnun kaldım.,Olumlu,Ürün memnuniyeti
Müşteri hizmetleri çok iyi teşekkür ederiz,Olumlu,Hizmet kalitesi
Kalitesi mükemmel ve fiyatına göre çok uygun,Olumlu,Ürün kalitesi
Kesinlikle tavsiye ederim süper ürün,Olumlu,Tavsiye
Çok başarılı bir deneyimdi memnun kaldım,Olumlu,Genel memnuniyet
Profesyonel hizmet kaliteli ürün,Olumlu,Profesyonellik
Hızlı kargo güvenilir satıcı,Olumlu,Kargo ve güvenilirlik
Ürün tam istediğimiz gibi çıktı,Olumlu,Beklenti karşılığı
Çok güzel tasarım beğendim,Olumlu,Tasarım
Başarılı bir alışveriş deneyimi,Olumlu,Alışveriş deneyimi
Bu ürün gerçekten berbat! Hiç memnun kalmadım,Olumsuz,Ürün memnuniyetsizliği
Kargo çok geç geldi çok kızgınım,Olumsuz,Kargo sorunu
Kalitesi çok düşük ve fiyatına hiç değmez,Olumsuz,Kalite-fiyat oranı
Hiç beğenmedim rezalet bir ürün,Olumsuz,Genel memnuniyetsizlik
Çok kötü deneyim tekrar almam,Olumsuz,Deneyim
Müşteri hizmetleri yetersiz,Olumsuz,Hizmet kalitesi
Ürün bozuk geldi çok sinirliyim,Olumsuz,Ürün hatası
Kötü kalite düşük performans,Olumsuz,Kalite
Çok pahalı ama değersiz,Olumsuz,Fiyat-kalite
Berbat bir hizmet memnun değilim,Olumsuz,Hizmet kalitesi
Personel dinlenme alanlarındaki kahve makinesinden lojmanada talep ediyoruz,Nötr,İş yeri talebi
Lojmanda internet hızının artırılmasını talep ediyoruz,Nötr,İş yeri talebi
Personel yemekhanesinde daha fazla çeşit yemek olmasını istiyoruz,Nötr,İş yeri talebi
Lojmanda spor salonu eklenmesini istiyoruz,Nötr,İş yeri talebi
Çalışma saatlerinin düzenlenmesini talep ediyoruz,Nötr,İş yeri talebi
Dinlenme alanında daha fazla oturma yeri olmasını istiyoruz,Nötr,İş yeri talebi
Lojmanda mescit açılmasını istiyoruz,Nötr,İş yeri talebi
Personel otoparkının genişletilmesini talep ediyoruz,Nötr,İş yeri talebi
Çalışma ortamının iyileştirilmesini istiyoruz,Nötr,İş yeri talebi
Sosyal alanların artırılmasını talep ediyoruz,Nötr,İş yeri talebi
Lojmanda yemekhane kalitesi iyi ama çeşit az. Spor salonu eklenmesini istiyoruz,Karmaşık Nötr,Hem memnuniyet hem talep
İnternet hızı yeterli fakat otopark yetersiz. Genel olarak memnunuz ama iyileştirmeler yapılmasını talep ediyoruz,Karmaşık Nötr,Hem memnuniyet hem talep
Otel olsun lojman olsun herşey çok iyi sorunsuz fakat biz arkadaşlarımızla bulunmak istiyoruz,Karmaşık Nötr,Hem memnuniyet hem talep
Müşteri hizmetleri hızlı ve yardımcıydı ama fiyatlar biraz yüksek,Karmaşık Nötr,Hem memnuniyet hem eleştiri
Ürün kalitesi beklediğimden daha iyi çıktı fakat kullanım kılavuzu eksik,Karmaşık Nötr,Hem memnuniyet hem talep
Ne iyi ne kötü idare eder ama geliştirilebilir,Karmaşık Nötr,Nötr ama geliştirme talebi
Fiyatına göre performansı fena değil ama daha iyi olabilir,Karmaşık Nötr,Nötr ama geliştirme talebi
Çok pahalı ama değer yine de indirim yapılmasını istiyoruz,Karmaşık Nötr,Hem memnuniyet hem talep
Tavsiye ederim güzel ürün ama daha fazla renk seçeneği olmasını istiyoruz,Karmaşık Nötr,Hem tavsiye hem talep
Genel olarak memnunuz fakat bazı iyileştirmeler yapılmasını talep ediyoruz,Karmaşık Nötr,Hem memnuniyet hem talep
Personel eğitim programlarının artırılmasını istiyoruz,Nötr,İş yeri önerisi
Çalışma koşullarının iyileştirilmesini talep ediyoruz,Nötr,İş yeri önerisi
Yönetim ile iletişimin güçlendirilmesini istiyoruz,Nötr,İş yeri önerisi
Personel motivasyon programlarının eklenmesini talep ediyoruz,Nötr,İş yeri önerisi
Çalışma ortamının daha konforlu hale getirilmesini istiyoruz,Nötr,İş yeri önerisi
Personel sağlık hizmetlerinin genişletilmesini talep ediyoruz,Nötr,İş yeri önerisi
Çalışma saatlerinin esnek hale getirilmesini istiyoruz,Nötr,İş yeri önerisi
Personel sosyal aktivitelerinin artırılmasını talep ediyoruz,Nötr,İş yeri önerisi
Çalışma güvenliğinin artırılmasını istiyoruz,Nötr,İş yeri önerisi
Personel gelişim fırsatlarının çoğaltılmasını talep ediyoruz,Nötr,İş yeri önerisi
